subject,checker_type,destination,tested_at
www.stats.cryptotab.net,AVAILABILITY,domains.list,46:54.4
www.sunnimiq1.cf,AVAILABILITY,domains.list,46:55.7
www.sunnimiq2.cf,AVAILABILITY,domains.list,46:57.3
www.superbay.li,AVAILABILITY,domains.list,46:59.4
www.svivqrhrh.ru,AVAILABILITY,domains.list,47:00.5
www.synconnector.com,AVAILABILITY,domains.list,47:01.1
www.tainiesonline.pw,AVAILABILITY,domains.list,47:01.9
www.tainiesonline.stream,AVAILABILITY,domains.list,47:02.5
www.tazm9p7tso.trade,AVAILABILITY,domains.list,47:03.1
www.thatresha.com,AVAILABILITY,domains.list,47:03.8
www.thelifeisbinary.ddns.net,AVAILABILITY,domains.list,47:04.4
www.thersprens.com,AVAILABILITY,domains.list,47:05.1
www.tokyodrift.ga,AVAILABILITY,domains.list,47:06.7
www.tpbpiratbay.cl,AVAILABILITY,domains.list,47:07.4
www.toftofcal.com,AVAILABILITY,domains.list,47:08.0
www.traffic-info-service.info,AVAILABILITY,domains.list,47:08.5
www.traffic-optical-service.info,AVAILABILITY,domains.list,47:09.0
www.traffic-gate-service.info,AVAILABILITY,domains.list,47:09.5
www.traffic-service.info,AVAILABILITY,domains.list,47:10.0
www.traumasister.tk,AVAILABILITY,domains.list,47:11.6
www.udqgbokvzbnqkf.ru,AVAILABILITY,domains.list,47:12.7
www.traffic-tech-service.info,AVAILABILITY,domains.list,47:13.2
www.ugmfvqsu.ru,AVAILABILITY,domains.list,47:14.2
www.uebawtz7.me,AVAILABILITY,domains.list,47:14.9
www.ullnot.download,AVAILABILITY,domains.list,47:15.4
www.unrummaged.com,AVAILABILITY,domains.list,47:16.1
www.us.cf,AVAILABILITY,domains.list,47:17.5
www.uzljra.ru,AVAILABILITY,domains.list,47:18.4
www.ultra-cdn.pl,AVAILABILITY,domains.list,47:18.8
www.v90327ux.beget.tech,AVAILABILITY,domains.list,47:20.6
www.verresof.com,AVAILABILITY,domains.list,47:21.3
www.vg02h8z1ul.me,AVAILABILITY,domains.list,47:22.0
www.vjcyehtqm9.me,AVAILABILITY,domains.list,47:22.7
www.vcfs6ip5h6.bi,AVAILABILITY,domains.list,47:25.2
www.vpzccwpyilvoyg.ru,AVAILABILITY,domains.list,47:26.2
www.voumxy.ru,AVAILABILITY,domains.list,47:27.2
www.vl8c4g7tmo.me,AVAILABILITY,domains.list,47:27.8
www.vxelkrhl.info,AVAILABILITY,domains.list,47:28.5
www.vzhjnorkudcxbiy.com,AVAILABILITY,domains.list,47:29.1
www.vtsgaqnfvzcyu.ru,AVAILABILITY,domains.list,47:30.2
www.w13.coinhive.com,AVAILABILITY,domains.list,47:30.7
www.vzzexalcirfgrf.ru,AVAILABILITY,domains.list,47:31.5
www.wasm24.ru,AVAILABILITY,domains.list,47:32.5
www.whereismommy.gq,AVAILABILITY,domains.list,47:34.0
www.whysoserius.cl,AVAILABILITY,domains.list,47:35.4
www.witthethim.com,AVAILABILITY,domains.list,47:36.1
www.willacrit.com,AVAILABILITY,domains.list,47:36.8
www.wkkjfcgjofbix.ru,AVAILABILITY,domains.list,47:37.9
www.wittyoffers.club,AVAILABILITY,domains.list,47:38.4
www.wmemsnhgldd.ru,AVAILABILITY,domains.list,47:39.4
www.wmwmwwfmkvucbln.ru,AVAILABILITY,domains.list,47:40.3
www.wnmyerzbjhu.ru,AVAILABILITY,domains.list,47:41.3
www.wmtech.website,AVAILABILITY,domains.list,47:42.0
www.worker.salon.com,AVAILABILITY,domains.list,47:42.6
www.wrxgandsfcz.ru,AVAILABILITY,domains.list,47:43.8
www.wp-monero-miner.de,AVAILABILITY,domains.list,47:44.3
www.ws000.coinhive.com,AVAILABILITY,domains.list,47:44.8
www.ws1.bmcm.pw,AVAILABILITY,domains.list,47:45.6
www.ws1.bmst.pw,AVAILABILITY,domains.list,47:46.3
www.ws1.bmnr.pw,AVAILABILITY,domains.list,47:47.0
www.ws2.bmnr.pw,AVAILABILITY,domains.list,47:47.5
www.ws2.bmst.pw,AVAILABILITY,domains.list,47:48.2
www.wo15.coinhive.com,AVAILABILITY,domains.list,47:48.8
www.ws3.bmnr.pw,AVAILABILITY,domains.list,47:49.6
www.ws4.bmnr.pw,AVAILABILITY,domains.list,47:50.2
www.ws2.bmcm.pw,AVAILABILITY,domains.list,47:51.0
www.ws09.coinhive.com,AVAILABILITY,domains.list,47:51.6
www.ws5.bmnr.pw,AVAILABILITY,domains.list,47:52.2
www.ws035.coinhive.com,AVAILABILITY,domains.list,47:52.7
www.ws.freebitco.in,AVAILABILITY,domains.list,47:53.3
www.wsnew.freebitco.in,AVAILABILITY,domains.list,47:53.8
www.ws.xmrm.pw,AVAILABILITY,domains.list,47:54.5
www.wty46.com,AVAILABILITY,domains.list,47:55.1
www.xbasfbno.info,AVAILABILITY,domains.list,47:55.8
www.xgmc6lu8fs.me,AVAILABILITY,domains.list,47:56.6
www.x.browsermine.com,AVAILABILITY,domains.list,47:57.2
www.xmr.crypto-pool.fr,AVAILABILITY,domains.list,47:57.7
www.xmrm.browsermine.com,AVAILABILITY,domains.list,47:58.3
www.xmrm.pw,AVAILABILITY,domains.list,47:59.0
www.xmrminingproxy.com,AVAILABILITY,domains.list,47:59.8
www.xmr.cool,AVAILABILITY,domains.list,48:08.0
www.xssrmimmnq.ru,AVAILABILITY,domains.list,48:08.8
www.ybjfsqcevow.ru,AVAILABILITY,domains.list,48:09.8
www.yoaabgvkm.ru,AVAILABILITY,domains.list,48:11.1
www.xmg.cool,AVAILABILITY,domains.list,48:13.0
www.yourloganalytics.com,AVAILABILITY,domains.list,48:13.7
www.yololike.space,AVAILABILITY,domains.list,48:14.3
www.yqaywudifu.date,AVAILABILITY,domains.list,48:14.8
www.yuyyio.com,AVAILABILITY,domains.list,48:15.5
www.zavzlen.ru,AVAILABILITY,domains.list,48:16.3
www.zgdfz6h7po.me,AVAILABILITY,domains.list,48:17.0
www.zivbxion.ru,AVAILABILITY,domains.list,48:17.8
www.ziykrgc.ru,AVAILABILITY,domains.list,48:18.8
